Date,Close,High,Low,Volume
2022-06-16,1.746640682220459,1.7993915436546404,1.711473441264338,10631100
2022-06-17,1.6938897371292114,1.734918497304978,1.688029054625862,45644700
2022-06-20,1.723196268081665,1.7290568453343065,1.6704453084431283,8334600
2022-06-21,1.746640682220459,1.7583637247123705,1.7173349625102938,5643750
2022-06-22,1.6792372465133667,1.899032806275403,1.6792372465133667,5632100
2022-06-23,1.688029408454895,1.714404948204603,1.6792375968072129,4490700
2022-06-24,1.731988549232483,1.7495721723017816,1.6792375752179265,4133000
2022-06-27,1.7583637237548828,1.7847391544576112,1.7231964828179116,3297200
2022-06-28,1.8199063539505005,1.8374899740185608,1.7319882536102,4870500
2022-06-29,1.802322626113892,1.819906245130552,1.7671553880805706,9306000
2022-06-30,1.8199063539505005,1.8286981639845303,1.7847391138143804,3277700
2022-07-01,1.8111143112182615,1.8199061201226896,1.7847388845049772,1125300
2022-07-04,1.7583637237548828,1.81111458516034,1.7407801032863972,3697400
2022-07-05,1.7935307025909424,1.8111143204898137,1.7495716578437643,2964000
2022-07-06,1.7935307025909424,1.8111143204898137,1.7583634667932,2828600
2022-07-07,1.8111143112182615,1.837489737931546,1.767155266696121,1626100
2022-07-08,1.83748996257782,1.8550735825363995,1.802322722660661,3077300
2022-07-12,1.7847391366958618,1.8374899975763412,1.758363706255622,2401300
2022-07-13,1.83748996257782,1.83748996257782,1.7847391027020818,5433800
2022-07-14,1.8286986351013184,1.8638658842973683,1.8199068228023056,3200900
2022-07-15,1.8286986351013184,1.8374904474003309,1.8111150105032932,461300
2022-07-18,1.8286986351013184,1.8462822596993436,1.7847395736062557,2633100
2022-07-19,1.83748996257782,1.8462817725571097,1.7847391027020818,2398500
2022-07-20,1.8462815284729004,1.872657164537112,1.8374897196559152,3412600
2022-07-21,1.8550736904144287,1.8902411419899632,1.8286982589427505,3097100
2022-07-22,1.8638653755187988,1.8726573950311969,1.8374899458214515,1664400
2022-07-25,1.8814492225646973,1.890241032546217,1.855073583006855,2605000
2022-07-26,1.8990325927734373,1.907824401598688,1.8638651478591783,5604300
2022-07-27,1.9341999292373655,1.9341999292373655,1.8990326920970395,5506100
2022-07-28,1.9429917335510252,1.9429917335510247,1.9166163057632657,3169300
2022-07-29,1.9517830610275269,1.969366675212289,1.9341994468427648,4081000
2022-08-01,1.986951231956482,2.0484939107974403,1.969367609430494,6565800
2022-08-02,2.0133261680603027,2.022117977150001,1.9869507407912077,3910500
2022-08-03,2.039701223373413,2.057284838346296,1.986950378454765,3753600
2022-08-04,2.039701223373413,2.0748684533191786,2.0221176084005306,7522100
2022-08-05,1.969367265701294,2.039701743529215,1.916616407330353,13518500
2022-08-08,1.8990325927734373,1.9781588722006929,1.8638651478591783,6415100
2022-08-09,1.8990325927734373,1.9166162104239384,1.8726571662976856,3338200
2022-08-10,1.8726574182510376,1.8990328482754248,1.8199063485889788,12360100
2022-08-11,1.890241026878357,1.899032836833514,1.855073577444444,6679300
2022-08-12,1.8550736904144287,1.8990329524805227,1.8550736904144287,3996600
2022-08-15,1.83748996257782,1.863865392515689,1.811114532639951,6612500
2022-08-16,1.8726574182510376,1.8814492282591664,1.8374899686052368,8918400
2022-08-17,1.8990325927734373,1.907824401598688,1.8638651478591783,11214800
2022-08-18,1.8726574182510376,1.8990328482754248,1.8550735886214949,4008500
2022-08-19,1.83748996257782,1.8902410320668424,1.83748996257782,2225500
2022-08-22,1.8199063539505005,1.8374899740185608,1.7671554937463203,4392200
2022-08-23,1.8111143112182615,1.828697929027118,1.7935306934094053,3720000
2022-08-24,1.8428577184677124,1.8428577184677124,1.7899527604773933,3405100
2022-08-25,1.851675033569336,1.860492525720596,1.8252225571155565,3725700
2022-08-26,1.8428577184677124,1.8604927044644852,1.834040225469326,3357900
2022-08-29,1.851675033569336,1.851675033569336,1.8075875728130368,3394200
2022-08-30,1.9133981466293333,1.9133981466293333,1.8428579823171063,10320700
2022-09-01,1.869310021400452,1.9222151846334723,1.842857544896739,5366800
2022-09-02,1.8428577184677124,1.869310197462872,1.8252227324709396,2681000
2022-09-05,1.851675033569336,1.869310017871856,1.8340400492668163,1656400
2022-09-06,1.851675033569336,1.869310017871856,1.851675033569336,1882900
2022-09-07,1.851675033569336,1.869310017871856,1.8340400492668163,2334700
2022-09-08,1.860492706298828,1.878127902538604,1.842857720284668,2803300
2022-09-09,1.878127932548523,1.878127932548523,1.8516752428789889,1066800
2022-09-12,1.851675033569336,1.8869452123999708,1.8340400492668163,1691300
2022-09-13,1.878127932548523,1.8869454256964944,1.8516752428789889,4169800
2022-09-14,1.878127932548523,1.8869454256964944,1.8340402565830456,3236800
2022-09-15,1.860492706298828,1.878127902538604,1.842857720284668,13156500
2022-09-19,1.7899527549743652,1.851675205773312,1.7723177690318093,9545100
2022-09-20,1.7987699508666992,1.8164049338967192,1.7634999848066588,2383500
2022-09-21,1.781135320663452,1.807587800448479,1.7723178274017766,6406300
2022-09-22,1.7899527549743652,1.8164052338881995,1.7635002760605312,3083300
2022-09-23,1.7458651065826416,1.7987700588486384,1.7370476145383087,5946100
2022-09-26,1.7194126844406128,1.75468265372545,1.692960102364185,11328500
2022-09-27,1.7546824216842651,1.7634999128394395,1.7017773696404332,3288700
2022-09-28,1.7546824216842651,1.772317403994614,1.7370474393739166,4411600
2022-09-29,1.7370479106903076,1.7635003913332306,1.7105954300473845,3200100
2022-09-30,1.7370479106903076,1.7370479106903076,1.7105954300473845,2953400
2022-10-03,1.7017775774002075,1.7370476514396016,1.675325100705261,3371400
